timestamp,open,high,low,close,volume
2025-12-27 07:00:00,839.54,843.09,839.3,840.57,6978.256
2025-12-27 08:00:00,840.56,843.22,840.06,840.25,7446.436
2025-12-27 09:00:00,840.25,841.98,838.39,838.69,9438.928
2025-12-27 10:00:00,838.7,843.42,837.62,841.65,17019.164
2025-12-27 11:00:00,841.65,841.72,840.1,840.96,3497.016
2025-12-27 12:00:00,840.97,841.46,839.52,840.03,4329.62
2025-12-27 13:00:00,840.03,841.15,839.31,840.31,3224.286
2025-12-27 14:00:00,840.31,840.59,838.59,839.4,3370.87
2025-12-27 15:00:00,839.4,841.53,838.47,840.9,3069.213
2025-12-27 16:00:00,840.9,841.77,840.25,840.58,1923.641
2025-12-27 17:00:00,840.59,841.4,839.44,840.14,2557.367
2025-12-27 18:00:00,840.14,840.45,839.7,839.88,1051.313
2025-12-27 19:00:00,839.89,840.95,839.65,840.95,792.855
2025-12-27 20:00:00,840.95,841.92,839.79,840.29,1638.927
2025-12-27 21:00:00,840.3,842.49,840.29,842.37,1127.18
2025-12-27 22:00:00,842.37,846.54,841.08,842.12,4027.918
2025-12-27 23:00:00,842.13,846.38,842.12,845.04,2745.014
2025-12-28 00:00:00,845.05,845.68,842.59,842.61,2878.654
2025-12-28 01:00:00,842.61,843.3,839.2,840.29,2988.333
2025-12-28 02:00:00,840.3,842.59,840.05,841.5,2043.44
2025-12-28 03:00:00,841.49,842.0,840.5,841.6,1602.35
2025-12-28 04:00:00,841.61,844.05,841.4,843.03,1714.135
2025-12-28 05:00:00,843.03,844.07,842.12,843.07,4384.29
2025-12-28 06:00:00,843.07,844.2,842.79,843.7,1520.836
2025-12-28 07:00:00,843.71,844.1,843.3,843.92,1343.865
2025-12-28 08:00:00,843.92,846.97,843.92,845.63,2459.88
2025-12-28 09:00:00,845.64,846.38,844.14,845.59,3171.733
2025-12-28 10:00:00,845.58,849.87,845.58,848.08,4871.973
2025-12-28 11:00:00,848.08,857.0,847.99,854.6,11597.189
2025-12-28 12:00:00,854.61,857.22,854.6,855.54,4485.923
2025-12-28 13:00:00,855.55,858.7,855.32,858.05,5493.008
2025-12-28 14:00:00,858.05,859.33,856.37,857.52,4877.177
2025-12-28 15:00:00,857.52,863.4,857.37,860.58,6622.997
